List	Trial	Item	Register	Wort	Sentence	Satz	Bild1	Bild2	Bild3	Bild4
1	30	35	2	<b>Glubscher</b> ?	"Ich schminke sp&auml;ter meine <b>Glubscher</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Augen-1.jpg	Augen-2.jpg	Glubscher-1.jpg	Glubscher-2.jpg
1	31	3	1	<b>Wohnung</b> ?	Ich saniere bald meine <b>Wohnung</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Wohnung-2.jpg	Bruchbude-2.jpg	Wohnung-1.jpg	Bruchbude-1.jpg
1	32	40	2	<b>Schlappen</b> ?	Ich trage jetzt meine <b>Schlappen</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Hausschuhe-2.jpg	Schlappen-2.jpg	Hausschuhe-1.jpg	Schlappen-1.jpg
1	33	33	2	"<b>W&auml;lzer</b> ?"	"Ich lese sp&auml;ter meine <b>W&auml;lzer</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Waelzer-1.jpg	Buecher-2.jpg	Buecher-1.jpg	Waelzer-2.jpg
1	34	38	2	"<b>Pl&uuml;rre</b> ?"	"Ich versch&uuml;tte gleich meine <b>Pl&uuml;rre</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Getraenke-1.jpg	Pluerre-2.jpg	Pluerre-1.jpg	Getraenke-2.jpg
1	35	1	1	<b>Schuhe</b> ?	Ich binde gleich meine <b>Schuhe</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Schuhe-1.jpg	Schuhe-2.jpg	Latschen-1.jpg	Latschen-2.jpg
1	36	19	1	<b>Antrag</b> ?	Ich unterschreibe jetzt meinen <b>Antrag</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Wisch-1.jpg	Wisch-2.jpg	Antrag-1.jpg	Antrag-2.jpg
1	37	25	1	"<b>F&uuml;&szlig;e</b> ?"	"Ich pedik&uuml;re bald meine <b>F&uuml;&szlig;e</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Mauken-2.jpg	Fuesse-1.jpg	Mauken-1.jpg	Fuesse-2.jpg
1	38	37	2	<b>Griffel</b> ?	Ich wasche gleich meine <b>Griffel</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Griffel-2.jpg	Finger-1.jpg	Griffel-1.jpg	Finger-2.jpg
1	39	31	1	<b>Pistole</b> ?	Ich feuer bald meine <b>Pistole</b>	"Welches Bild passt am besten f&uuml;r das Wort"	Knarre-1.jpg	Pistole-1.jpg	Pistole-2.jpg	Knarre-2.jpg
1	40	34	2	<b>Limos</b> ?	"Ich trinke sp&auml;ter meine <b>Limos</b>"	"Welches Bild passt am besten f&uuml;r das Wort"	Limos-1.jpg	Erfrischungsgetränke-1.jpg	Erfrischungsgetränke-2.jpg	Limos-2.jpg
